"paragraph","questionNumber","question","choiceA","choiceB","choiceC","choiceD","choiceE","Answer"
"Araştırmalar sadece doğal ışığa maruz kalındığında biyolojik saatimizin Güneş'in doğuşu ve batışıyla tam anlamıyla eşzamanlı olduğunu gösteriyor. Çevremizdeki binalar nedeniyle gün içinde daha az güneş ışığına maruz kalıyoruz, Güneş battıktan sonra yapay aydınlatma kullanılması da vücudun günlük ritmini etkileyerek özellikle uyku düzeni üzerinde önemli değişikliklere sebep oluyor. Bunun nedeni doğal ışığın biyolojik saatimizin ayarlanmasında en belirleyici etken olması. Sadece doğal ışığa maruz kalan insanların biyolojik saatleri ve günlük ritimleri arasında daha az bireysel farklılık görülürken, yapay ışığa daha fazla maruz kalmak insanların günlük ritimleri arasındaki bireysel farklılıkların daha belirgin olmasına yol açıyor. Bu nedenle doğal ışıkla etkileşimin artması, günlük ritimdeki dengesizliklerin yol açtığı fizyolojik ve bilişsel problemlerinin azalmasına yardımcı olabilir.","11","Bu metinde aşağıdaki sorulardan hangisinin yanıtı yoktur?","Doğal ışığa maruz kalındığında biyolojik saatimizde bir değişiklik olur mu?","Gün içinde daha az güneş ışığına maruz kalmamızın nedenleri nelerdir?","Güneş battıktan sonra yapay aydınlatma kullanan insanların daha çok uyumasının sonuçları nedir?","Biyolojik saatimizin ayarlanmasında en belirleyici etken nedir?","Doğal ışıkla etkileşimin artmasının sonuçları nelerdir?","C"
"-","12","Aşağıdaki cümlelerin hangisi bir paragrafın giriş cümlesi olabilir?","Yunus Emre, bunun için ""İlim, kendin bilmektir."" Demiştir.","Bu da önce disiplinli bir okul eğitimiyle gerçekleşir.","Oysaki söz konusu bizim geleceğimizdir.","Ayrıca düşünce özgürlüğüne açılan kapı, ilgi yolundan geçer.","İnsan kendini bilme özgürlüğüne kavuşmalıdır.","E"
"Farklı, farklı olduğu kadar samimi biri de Ahmet Dede. Yumuşak kişiliğine tatlı dilini de eklerseniz ne demek istediğimi hemen anlarsınız. O hırıltılı sesiyle durmadan bir şeyler anlatıyor. Çalışma odasına;deri ciltli eski kitapların ve tütsülerin kokusu sinmiş. Sıcağı hiç sevmediği için odası her zaman olduğu gibi yine hafif soğuk.","13","Bu parçanın anlatımında aşağıdaki duyuların hangilerinden yararlanılmamıştır?","Görme","Koklama","İşitme","Dokunma","Tatma","E"
"Amaçsız bir okuma düşünülemez. Adını koyalım ya da koymayalım bizi okumaya yönlendiren bir amacımız vardır. Bir soruya karşılık bulma, bir konuda bilgi edinme, hoşça vakit geçirme gibi.Amacımız bizi belli bir iletişim konumuna sokar. Metinle iletişime girebilmek için izleyeceğimiz yolu, takınacağımız tutumu belirleriz. Örneğin bir köşe yazısını ya da düşünce yazısını okurken takınacağımız tutumla, bir romanı ya da öyküyü okurken takınacağımız tutum birbirinden farklı olur.","14","Yukarıdaki paragrafta aşağıdakilerden hangisine değinilmemiştir?","Okumanın amaçlarından söz edilmiştir.","Okuma, bir soruya karşılık bulma amacıyla yapılabilir.","Okuma, bilgi edinme ve hoşça vakit geçirme amacıyla yapılabilir.","Okuma amacımız bizi metinle belli bir iletişim konumuna sokar.","Çeşitli metin türlerini okurken aynı tutumun takınılması gerektiğinden söz edilmiştir.","E"
"'Sanat bireysel bir eylemdir ve etkisini öznellikten alır. Sanatçının en temel referansı yine kendisi olmalıdır. Bireysel yaşantıların farklılıkları, doğanın bize bahşettiği her şey, irademiz bizi herkesten farklı kılar. Tarihsel süreçte de aynı olgu, kavram ve durumların farklı şekillerde defalarca dile getirilmesinin sebebi de budur. (...)'","15","Yukarıdaki paragraf hangi cümle ile tamamlanırsa düşüncenin akışı bozulmaz?","Sanatçı, kendinden önceki sanatçıları kendisine örnek almalıdır.","Toplumların yapısı sanatçının dikkat etmesi gereken bir olgudur.","Sanat eseri sadece sanatçının değil aynı zamanda ait olduğu toplumun da bir eseridir.","Sanatçının yaratıcılığının temelinde, o toplumda süregelen sanat anlayışı vardır.","Kendi kişiliğinin ve varlığının ayırımına varmış kişi sanatçı olma yolunda en önemli adımı atmış demektir.","E"
"Kişi, alışkanlıklarına, kendisine daha önce öğretilenlere bağlıdır. Bunlara aykırı yeni bir durumla karşılaşınca direnir, hoşnutsuzluğunu belli eder. Ama her iyi, her yararlı şeyi er geç benimseyerek, önceki anlayışsızlıklarına şaşacaktır. Bir süre sonra eski alışkanlığından kopup bu kez yenisine bağlanacaktır. Bu insanlığın ilk gününden bugüne dek sürüp gider.","16","Bir şeye ısınıp kendi malı gözüyle bakmak anlamını veren sözcük, paragrafın hangi cümlesinde vurgulanmıştır?","1","2","3","4","5","C"
"Mehmet Seyda, Cumhuriyet dönemi öykülerinin çok ürün verebilen yazarlarından biri. Seyda'nın yapıtlarında toplumun hemen her katından insanlara; toplumsal sorunlardan duygusal ilişkilere uzanan bir öykü içeriğine, klasik anlayıştan yenilikçi biçimlere dek genişleyen öykü kurgusuna rastlıyoruz. Seyda çok yazan bir sanatçı olmasına karşın dilinde, söyleyişinde belli düzeylerin altına düşmemiştir.","17","Yukarıdaki paragrafta adı geçen sanatçı ve öyküleriyle ilgili aşağıdakilerden hangisine değinilmemiştir?","Hangi dönemde eser verdiğine","Çok yazmasına rağmen üslubunun güçlü olduğuna","Öykülerinde hem toplumsal hem bireysel konulara yer verdiğine","Toplumun her kesiminden insanlara hitap ettiğine","Biçiminde geleneksel anlayışla birlikte yenilikçi unsurlar barındırdığına","D"
"I. İşte bu nedenle ""soru kökü""nü okumak çok önemlidir. II. Bu durumda paragrafı iki defa okumak zorunda kalırız. III. Paragraf sorularının çözümüne mutlaka soruyu okuyarak başlayın. IV. Bu da bizim için büyük zaman kaybı olur. V. İşe doğrudan paragraf okunarak başlanırsa paragrafta ne arandığı, paragrafın niçin okunduğu bilinmediğinden, paragraf, boş yere okunmuş olur.","18","Yukarıdaki numaralanmış cümlelerle anlamlı bir paragraf oluşturulmak istense sıralama aşağıdakilerden hangisi olur?","I-IV-III-I-V","III-V-II-IV-I","II-I-III-V-IV","II-IV-I-III-V","IV-V-II-III-I","B"
"Can alıcı nokta, insan denen kavramla başlıyor. Doğayı ve kendini değiştire değiştire yazıyor insanlık tarihini insanoğlu. Sürekli bir arayış içinde insan. Birçok gereksinimini karşılayabildiği halde insanoğlu bir derin boşluğu da taşıyor beyninde, yüreğinde. Hep eksik bir yanı kalıyor. Acaba diyorum sanat, insanda bu boşluğu dolduran bir şey mi? İnsanı diğer canlılardan ayıran en büyük özelliği düşünme yeteneği. Düşünmeyle başlıyor sorular, sorgular, yaralar...","19","Bu parçada aşağıdakilerden hangisine değinilmemiştir?","İnsanoğlunun sanat yapma kaygısıyla yaşadığına","İnsanın diğer canlılardan düşünme özelliğiyle ayrıldığına","İnsanın sürekli arayış bir içinde olduğuna","İnsanlık tarihinin sürekli değişmelerle ortaya çıktığına","İnsanoğlunun kendisini ve çevresini sürekli değiştirdiğine","A"
"Sanat süs ve çerez değildir. Bu sebeple, ""sanat, sanat içindir."" formülü tamamıyla manasızdır. Sanat, cemiyet içindir ve mahallidir. Bu itibarla, ""sanatın vatanı olmadığı"" formülü de yanlıştır. Bir milletin edebiyatı, başka bir millet tarafından benimsenemez. Edebiyat ahlaka da hizmet etmelidir. Esasen ""Edepsizliğin başladığı noktada, edebiyat biter."" Cemiyetin bütün meseleleri, bütün dertleri, yaraları edebiyatın konusudur. Edebi eserlerin halka hitap etmeleri şarttır. Aydınlar için yazmak abestir.","20","Yukarıdaki paragrafın konusu aşağıdakilerden hangisdir?","Sanat evrenseldir.","Edebiyat sadece ahlaka hizmet etmelidir.","Sanat millidir, toplum faydası güder.","Toplumun üzüntü ve dertleri dışında konu işlememelidir.","Edebi eser oluşturmak zordur.","C"
"Ayrılık ne biliyor musun? Ne araya yolların girmesi, Ne kapanan kapılar. Ne yıldız kayması gecede, Ne de turna katarı gökte. İnsanın içini dökmekten vazgeçmesi ayrılık.","21","Bu dizelerdeki altı çizili sözle anlatılmak istenen aşağıdakilerden hangisidir?","Sırrını paylaşmak","Dertlerini, üzüntülerini anlatmak","Sıkıntısı dağılmak, ferahlamak","Sıkılmak, bunalmak","Üzüntüsünü belli etmek","B"
"-","22","Aşağıda verilen deyimlerden hangisinin açıklaması yanlıştır?","Gözünü bağlamak: Doğruyu bulamaz, düşünemez duruma getirmek.","Gözü toprağa bakmak: Hiçbir şeye önem,değer vermemek..","Gözü gönlü tok olmak: Her şeye sahip olduğunu düşünüp aza kanaat getirmek.","Gözlerinin feri sönmek: Bakışlarının canı yitmek.","Gözleri yuvalarından fırlamak: Korku, öfke ya da telaşı gözlerinden okunmak.","B"
"Mürekkebi kullanılmamış kalem mürekkebi tükenmiş kalemden daha boştur.","23","Cümlesine anlamca en yakın söz aşağıdakilerden hangisinde vardır?","Ak akçe kara gün içindir.","Bir elin nesi var, iki elin sesi var.","Akıllı düşman, akılsız dosttan iyidir.","Mızrak çuvala sığmaz.","Güneş balçıkla sıvanmaz.","C"
"(1) Halit Ziya, bir süre her şeyi karartıp, yalnız masayı aydınlattığı için tuhaf bir gücü oluyor bu sahnenin. (II) Edebiyatla resmin farkı yüzünden masa imgesinin bütünü bir anda serilmiyor önümüze. (III) Ama yazar, edebiyatın çarpıcı bir hünerinden yararlanıyor. (IV) Imgeleri art arda yığıyor; ayrıntılar teker teker yerlerini alıyor anlatıda.","24","Yukarıdaki parçada numaralanmış cümlelerin hangi ikisinde neden-sonuç ilişkisi vardır?","I. ve II.","II. ve III.","III. ve IV.","I. ve III.","II. ve IV.","A"
"-","25","Aşağıdaki ikili dizelerin hangisinde birinci dize, ikinci dizenin nedeni durumundadır?","Bir güzel de düşemezse eşine Ah çektikçe yüreğinden kan gelir.","Ayağına giymiş telli yemeni Kaldıralım aralıktan kuşkuyu","İstersen ağa ol, istersen paşa Gel gönül bu kadar düşme telaşa","Bak, mücevher kanatlı bir kuş olmuş Kuru yaprakların telâşında güz.","Dönmez misiniz ey yolda kalanlar Yolcular, garipler, garip çocuklar","A"
"Balzac: ""Şiir, otlar gibi bitmez."" der. Bu sözüyle sanatın bir emek olduğunu, kendiliğinden sanatın gerçek sanat sayılamayacağını dile getirmiş olur. Bu sonuca kendi sanat yaşantısıyla ulaşmıştır. Yüze yakın cilt romanı görkemli bir sanat işçiliğidir. Onun kaleminden çıkan bu yapıtlar elli yıllık Fransız tarihinin ayrıntılı bir özetidir. ","26","Bu paragrafın anlatım biçimi aşağıdakilerden hangisidir?","Açıklama","Örneklendirme","Karşılaştırma","Tartışma","Kanıtlama","A"
"Yuvamı çiçekledim sen bir meleksin diye, Yollarını bekledim görüneceksin diye. Senin için kandiller tutuştu kendisinden, Resmine sürme çektim kandillerin isinden, Saksıda incilendi yapraklar senin için, Söylendi gelmez diye uzaklar senin için... (Faruk Nafiz Çamlıbel)","27","Bu metne hakim olan duygu aşağıdakilerden hangisidir?","Sitem","Özlem","Karamsarlık","Sevgi","Ayrılık","B"
"Sokağımsan Ben anahtarı çevirdiğim zaman Kapanan evin kapısı değil, Senin kapın olsun açılan. Adresimsen, Mektupların doğru dürüst gelsin; İki kişi telefonda konuşurken Olmayalım hemen üç kişi (Cemal Süreya)","28","Yukarıdaki metinle ilgili olarak aşağıdakilerden hangisi söylenemez?","Yazıldığı dönemin sosyal sorunlarıyla ilişkili bilgiler yer almamaktadır.","Birinci tekil kişili anlatıcı vardır.","Mecaz anlamda kullanılmış sözcükler vardır.","Öznellik hakimdir.","Temel anlam birimi sözcüktür.","A"
"Yapıtı hayalden koparmaya çalışmak, sanatın yıkımına yol açar.","29","Aşağıdakilerden hangisi anlamca bu cümleye en yakındır?","Sanat hayal gücünü geliştirir.","Hayal, sanatın olmazsa olmazlarındandır.","Sanatsız bir toplum gelişemez","Hayal ve sanat birbirine karıştırılmamalıdır.","Hayal unsurundan yosun bir eser değersizdir.","B"
"Ya düşlerinin peşine düşmeyi seçersin ya da onları ... Karar senin. İyiliklerinle güçlenir, keşkelerinle ...","30","Bu parçada boş bırakılan yerlere düşüncenin akışına göre aşağıdaki sözcüklerden hangileri gelebilir?","reddetmeyi-bitersin","kabullenmeyi-tükenirsin","terk etmeyi-yok olursun","benimsemeyi-bitersin","bırakmayı-tükenirsin","B"
"I. Faturayı ödemeyince telefonumuzu kestiler. II. Yolunu kesenlere dik dik bakıyordu. III. Bursu kesilince okula da uğramaz oldu. IV. Bulvarı kesen küçük sokaklardan birinde yaşıyordu. V. Bu ilaç ağrımı keser mi acaba?","31","Yukarıdaki numaralanmış cümlelerin hangilerinde ""kesmek"" sözcüğü, aynı anlamda kullanılmıştır?","I-II","II-III","III-V","I-III","IV-I","D"
"I. Limana bakan penceresinden deniz görünürdü. II. Evin bütün işleri bana bakıyor. III. Git bak bakalım, evdeler mi? IV. Bu iş beş bin liraya bakar. V. Hangi resmime baksam ben değilim.","32","Bakmak sözcüğü yukarıdaki cümlelerde kaç değişik anlamda kullanılmıştır?","5","4","3","2","1","A"
"I.Bunu bilmek içimi kederle dolduruyordu. II.Bizden borç almayı bildi de parayı geri vermeyi mi bilmiyor? III. Size teşekkürü bir borç bilirim.. IV.Bu konuda ben arkadaşını bilmem, seni bilirim. V.Beni bilemedin mi anneanne?","33","Yukarıdaki cümlelerde geçen ""bilmek"" sözcüğü kaç farklı anlamda kullanılmıştır?","1","2","3","4","5","E"
"(1) Herşey ben çocukken oldu. (II) Uzaklarda bir yerlerde, Maraş'da babalarımız, ağabeylerimiz düşmanla savaşırken bizler, onbeş yaşındaki çocuklar, tarlada çalışıyorduk. (III) Cılız, gencecik omuzlarımız, koca adamların işini yüklenmişti. (IV) En gücü de hasat zamanıydı. (V) Haftalarca evden uzak kalır; günlerimizi, gecelerimizi tarlada, harman yerinde ya da istasyon yolunda ekin taşımakla geçirirdik.","34","Yukarıda numaralanmış cümlelerden hangisinde birden fazla yazım yanlışı yapılmıştır?","1.","II.","III.","IV.","V.","B"
"Bu konuda iki yaklaşım var () Biri () kuşları () kedileri () köpekleri mahallemizin birer sakini kabul edip onlara da yaşama alanlarımızda rahat edecekleri köşecikler ayırmak () diğeri, sınırsız bir bencilliklekendimizi yaşamın merkezine koyup geri kalan tüm canlılara karşı kayıtsız kalmak.","35","Bu parçada yay ayraçla belirtilen yerlere sırasıyla aşağıdakilerin hangisinde verilen noktalama işaretleri getirilmelidir?","() () () () (...)","(;) (,) (,) (.) (...)","-","-","-","C"
"Çocuk Stevenson, annesine: ""Bir insan resmi yaptım, şimdi onun ruhunu yapayım mı?"" demiş. Çocuk Stevenson resme can verebildi mi bilmiyoruz ama romancı Stevenson korsanlarına ve serserilerine ruh vermiş olmalı ki onlar hala yaşıyorlar.","36","Bu parçada aşağıdaki ses olaylarından hangisi yoktur?","Ünlü düşmesi","Ünsüz benzeşmesi","Ünsüz değişimi","Ünlü daralması","Ulama","C"
"(1) Kara Kitap, bizim edebiyatımızda daha önce benzeri olmayan bir romandı. (II) Doğrusu, o sıralarda gitgide daha çok ilgi görmeye başlayan Orhan Pamuk'un önceki üç romanından da epeyce farklıdır. (III) Beyaz Kale yeni bir romanın sağlam ipuçlarını veriyordu elbette. (IV) Ben bugün de Beyaz Kale'yi Orhan Pamuk'un yazarlık serüveninin ilk dönemiyle sonraki dönemi arasında bir köprü olarak görüyorum. (V) Küçük ama sırları olan bir kitaptı Beyaz Kale.","37","Yukarıda verilen parçayla ilgili aşağıdakilerden hangisi yanlıştır?","1. cümlede belirtili ad tamlaması kullanılmıştır.","II. cümlede zincirleme ad tamlaması kullanılmıştır.","III.cümlede tamlayanı ve tamlananı sıfat almış ad tamlaması kullanılmıştır.","IV.cümlede zincirleme ad tamlamasının arasına sıfat girmiştir.","V.cümlede tamlayanı düşmüş ad tamlaması kullanılmıştır.","B"
"""Tamlayanı kişi zamiri olan isim tamlamalarında, tamlanan ad düşebilir.""","38","Aşağıdakilerin hangisinde bu açıklamaya uygun bir kullanım vardır?","Şu karşıdaki küçük lokanta bizim.","Bazı öğretmenler toplantıya katılmadı.","Tabloyu adamın kendisi yapmış.","Birçoğu yasal haklardan söz etti.","Onun gibisini zor bulursun bu devirde.","E"
"-","39","Aşağıdaki cümlelerin hangisinde bir anlatım bozukluğu vardır","İstediğiniz ürün üç gün içinde elinize ulaşır.","Aşağı yukarı on gündür ensemde şiddetli bir ağrı hissediyorum.","Şiirlerinde yerel ve evrensel motifleri çokça kullandı.","Hiçbir insan kökeninden, memleketinden ve inancından ötürü küçümsenmemeli","Her türlü olanağı göz önünde bulundurarak seçim yapmalısın.","E"
"Belediye başkanının ""Üçüncü derecede sit alanına çevirdik"" sözünü bazı mimarlar da destekliyor","40","Yukarıdaki cümle ile ilgili olarak verilen aşağıdaki bilgilerden hangisi doğrudur?","Sıralı/ Kurallı/ Fiil","Bağlı /Kurallı/ Fiil","Bileşik/ Devrik /İsim","Sıralı/Devrik/ İsim","Bileşik/ Kurallı/ Fiil","E"
